ward,sub,total_eligible_electors,number_voted,percent_voted
1,1,1567,275,18%
1,2,1656,355,21%
1,3,1266,232,18%
1,5,2669,284,11%
1,6,1837,268,15%
1,7,1869,326,17%
1,8,344,75,22%
1,9,443,99,23%
1,10,441,69,16%
1,11,2013,214,11%
1,12,2656,275,10%
1,13,1585,286,18%
1,14,1623,358,22%
1,15,762,137,18%
1,16,394,91,23%
1,17,1640,433,26%
1,18,861,272,32%
1,19,38,28,74%
1,21,2622,338,13%
1,22,1860,250,13%
1,23,802,168,21%
1,24,1572,342,22%
1,25,133,58,44%
1,26,127,21,17%
1,27,2166,207,10%
1,28,235,51,22%
1,29,302,57,19%
1,30,378,59,16%
1,31,41,9,22%
1,32,3088,433,14%
1,33,1123,197,18%
1,34,1613,185,11%
1,35,1635,444,27%
1,36,1593,381,24%
1,37,1570,247,16%
1,38,125,37,30%
1,39,839,159,19%
1,40,1797,435,24%
1,41,1012,205,20%
1,42,1474,184,12%
1,47,2452,387,16%
1,48,2009,395,20%
1,49,1723,255,15%
1,51,2020,482,24%
1,52,2718,487,18%
1,53,1142,291,26%
1,54,2362,373,16%
1,55,2080,313,15%
1,56,455,214,47%
1,57,2426,585,24%
1,59,691,184,27%
1,60,948,159,17%
1,97,NA,313,NA
1,98,NA,1485,NA
1,99,NA,2495,NA
1 Total,NA,70797,16962,24%
2,1,1077,277,26%
2,2,1944,331,17%
2,3,1308,298,23%
2,4,1659,248,15%
2,6,1806,363,20%
2,7,1892,382,20%
2,8,1434,304,21%
2,9,96,73,76%
2,10,2136,385,18%
2,11,475,139,29%
2,12,503,111,22%
2,13,413,128,31%
2,14,108,24,23%
2,15,2779,451,16%
2,16,253,121,48%
2,17,131,58,44%
2,18,1133,277,24%
2,19,1721,405,24%
2,20,1045,261,25%
2,21,2053,377,18%
2,22,158,61,39%
2,23,241,110,46%
2,25,2913,492,17%
2,28,86,58,67%
2,29,2299,497,22%
2,30,2266,522,23%
2,31,2105,593,28%
2,32,1910,506,26%
2,33,1504,281,19%
2,34,2840,611,22%
2,35,41,36,88%
2,36,316,80,25%
2,37,283,97,34%
2,38,468,129,28%
2,39,2161,542,25%
2,40,2103,417,20%
2,41,1840,453,25%
2,42,1919,440,23%
2,43,1961,470,24%
2,44,2325,520,22%
2,45,828,208,25%
2,46,750,197,26%
2,47,1470,356,24%
2,48,1194,249,21%
2,49,1291,218,17%
2,50,22,14,64%
2,51,1731,295,17%
2,52,2488,507,20%
2,54,2848,433,15%
2,55,483,148,31%
2,58,47,22,47%
2,61,1660,307,19%
2,62,1822,323,18%
2,63,125,28,22%
2,64,1228,297,24%
2,65,2008,522,26%
2,67,1018,203,20%
2,68,2469,457,19%
2,70,3035,434,14%
2,71,97,18,19%
2,72,1315,282,21%
2,73,1089,223,20%
2,74,1042,316,30%
2,75,396,188,47%
2,76,356,154,43%
2,77,1824,475,26%
2,78,1660,331,20%
2,79,1468,351,24%
2,80,22,8,36%
2,97,NA,967,NA
2,98,NA,2670,NA
2,99,NA,3655,NA
2 Total,NA,89491,26784,30%
3,1,1901,593,31%
3,2,25,17,68%
3,3,1907,534,28%
3,5,2091,526,25%
3,6,2060,588,29%
3,7,436,223,51%
3,10,4570,888,19%
3,11,969,208,22%
3,13,654,184,28%
3,14,361,126,35%
3,15,532,161,30%
3,16,2426,473,19%
3,17,9,5,56%
3,18,74,58,80%
3,19,393,114,29%
3,20,845,311,37%
3,21,751,263,35%
3,22,401,129,33%
3,23,2684,540,20%
3,24,3295,710,22%
3,25,1885,526,28%
3,26,2627,652,25%
3,27,42,20,50%
3,28,1114,237,21%
3,29,2429,819,34%
3,30,2658,418,16%
3,31,2238,575,26%
3,32,1995,455,23%
3,33,2266,400,18%
3,34,392,104,27%
3,35,143,48,34%
3,36,1836,437,24%
3,37,2492,618,25%
3,38,257,85,33%
3,39,2055,390,19%
3,40,1065,221,21%
3,41,751,288,38%
3,42,672,280,42%
3,43,361,144,40%
3,44,377,133,35%
3,45,169,88,52%
3,46,349,135,39%
3,47,362,162,45%
3,48,349,106,30%
3,49,621,162,26%
3,50,447,106,24%
3,51,332,88,27%
3,52,442,80,18%
3,53,452,89,20%
3,54,363,50,14%
3,55,1126,166,15%
3,56,395,77,19%
3,57,734,132,18%
3,58,907,222,24%
3,59,1117,455,41%
3,60,587,246,42%
3,61,1889,442,23%
3,62,1940,311,16%
3,63,1066,324,30%
3,64,2163,608,28%
3,65,2182,569,26%
3,67,1804,515,29%
3,68,1101,246,22%
3,69,135,55,41%
3,70,1758,585,33%
3,71,880,109,12%
3,72,485,82,17%
3,73,1501,336,23%
3,74,1312,239,18%
3,75,1869,411,22%
3,76,23,23,100%
3,77,1763,431,24%
3,78,2572,548,21%
3,79,1737,360,21%
3,80,32,32,100%
3,81,2314,525,23%
3,82,2594,629,24%
3,83,2387,595,25%
3,84,2669,623,23%
3,85,2303,543,24%
3,86,645,138,21%
3,87,812,222,27%
3,88,70,4,6%
3,97,NA,1158,NA
3,98,NA,4023,NA
3,99,NA,2993,NA
3 Total,NA,102797,33544,33%
4,2,2767,701,25%
4,4,2387,761,32%
4,5,2560,767,30%
4,6,2354,710,30%
4,7,35,35,100%
4,8,2645,692,26%
4,9,2008,530,26%
4,10,2326,583,25%
4,11,885,390,44%
4,13,1500,407,27%
4,14,2245,708,32%
4,15,860,215,25%
4,17,1995,635,32%
4,18,1854,559,30%
4,19,1652,440,27%
4,20,301,100,33%
4,21,175,68,39%
4,22,300,109,36%
4,23,394,147,37%
4,24,275,99,36%
4,25,432,172,40%
4,26,560,164,29%
4,27,281,114,41%
4,28,273,111,41%
4,29,296,115,39%
4,30,440,152,35%
4,31,302,109,36%
4,33,385,105,27%
4,34,864,318,37%
4,35,537,229,43%
4,36,1167,404,35%
4,37,925,280,30%
4,38,2643,792,30%
4,39,2947,893,30%
4,40,2501,759,30%
4,41,1681,523,31%
4,42,2667,655,25%
4,43,325,149,46%
4,44,421,190,45%
4,45,516,162,31%
4,46,570,238,42%
4,47,198,127,64%
4,48,1257,278,22%
4,49,495,157,32%
4,50,342,109,32%
4,51,3862,1226,32%
4,53,2964,1044,35%
4,54,2159,717,33%
4,55,2477,875,35%
4,56,427,101,24%
4,57,1265,330,26%
4,58,2917,774,27%
4,59,1798,451,25%
4,60,2124,436,21%
4,61,64,12,19%
4,62,811,188,23%
4,63,1753,352,20%
4,64,418,118,28%
4,65,1566,348,22%
4,66,78,27,35%
4,67,2370,464,20%
4,68,2078,431,21%
4,69,124,17,14%
4,70,29,29,100%
4,71,1080,216,20%
4,72,31,13,45%
4,73,862,203,24%
4,97,NA,1210,NA
4,98,NA,4144,NA
4,99,NA,2536,NA
4 Total,NA,83800,32223,38%
5,1,486,115,24%
5,2,1564,437,28%
5,3,2076,626,30%
5,4,2426,502,21%
5,5,216,105,49%
5,6,2254,557,25%
5,7,48,8,17%
5,8,1677,418,25%
5,9,1640,292,18%
5,10,1274,250,20%
5,11,1362,287,21%
5,12,581,112,19%
5,13,48,41,85%
5,14,168,71,42%
5,15,2283,682,30%
5,16,1587,267,17%
5,17,2025,479,24%
5,18,287,99,34%
5,19,138,75,54%
5,20,312,71,23%
5,21,402,86,21%
5,22,528,196,37%
5,23,2616,506,19%
5,24,129,8,6%
5,25,2946,646,22%
5,26,191,43,23%
5,27,2722,390,14%
5,28,3203,600,19%
5,29,517,112,22%
5,30,1930,261,14%
5,31,1585,343,22%
5,33,623,164,26%
5,34,457,73,16%
5,35,1877,338,18%
5,36,42,30,71%
5,37,477,117,25%
5,38,703,141,20%
5,39,2495,432,17%
5,41,4271,835,20%
5,42,1981,336,17%
5,45,3362,566,17%
5,46,164,50,30%
5,48,93,52,58%
5,49,478,154,32%
5,51,682,234,34%
5,52,368,177,48%
5,53,376,191,51%
5,54,364,171,47%
5,55,349,152,44%
5,56,1891,439,23%
5,57,257,106,41%
5,58,2496,710,28%
5,59,893,207,23%
5,60,1555,430,28%
5,61,1333,342,26%
5,62,2154,320,15%
5,63,2437,555,23%
5,64,2359,555,24%
5,65,197,50,25%
5,66,2530,462,18%
5,67,224,114,51%
5,68,198,80,41%
5,97,NA,465,NA
5,98,NA,2020,NA
5,99,NA,2054,NA
5 Total,NA,76907,21807,28%
6,1,1757,364,21%
6,3,926,292,32%
6,4,195,50,26%
6,5,3558,618,17%
6,6,288,73,25%
6,7,2811,461,16%
6,8,318,106,33%
6,10,372,122,33%
6,11,268,84,31%
6,12,264,93,35%
6,13,2527,412,16%
6,14,28,28,100%
6,15,2275,385,17%
6,16,26,26,100%
6,18,1105,230,21%
6,19,1669,242,14%
6,20,41,17,41%
6,21,1921,342,18%
6,22,2519,406,16%
6,23,1068,207,19%
6,24,37,24,65%
6,25,321,79,25%
6,26,1687,294,17%
6,27,1596,302,19%
6,28,1526,263,17%
6,29,192,58,31%
6,30,162,72,44%
6,31,2603,499,19%
6,32,2586,539,21%
6,33,3500,775,22%
6,34,2332,600,26%
6,36,604,162,27%
6,37,378,90,24%
6,38,1680,317,19%
6,39,1730,279,16%
6,40,2699,370,14%
6,41,1876,356,19%
6,42,2682,393,15%
6,43,1374,336,24%
6,44,2130,337,16%
6,45,270,79,29%
6,46,1638,306,19%
6,48,2268,365,16%
6,49,419,111,26%
6,50,1659,330,20%
6,51,966,241,25%
6,52,1348,253,19%
6,53,2390,371,16%
6,55,1618,284,18%
6,56,89,31,35%
6,97,NA,458,NA
6,98,NA,1039,NA
6,99,NA,2553,NA
6 Total,NA,68296,17124,25%
7,1,1960,546,28%
7,2,1039,259,25%
7,3,1360,292,22%
7,4,2154,462,21%
7,5,1594,328,21%
7,6,2330,388,17%
7,9,1435,240,17%
7,10,2051,309,15%
7,11,322,102,32%
7,13,1609,81,5%
7,14,1779,363,20%
7,15,25,23,100%
7,16,1131,192,17%
7,17,2490,341,14%
7,19,299,90,30%
7,20,426,97,23%
7,25,2552,400,16%
7,26,659,198,30%
7,28,1587,359,23%
7,29,221,67,30%
7,30,1727,311,18%
7,31,2035,289,14%
7,32,1398,363,26%
7,33,1346,278,21%
7,35,2327,343,15%
7,38,1134,122,11%
7,39,2645,390,15%
7,40,231,53,23%
7,42,348,92,26%
7,43,330,72,22%
7,44,341,98,29%
7,45,2492,474,19%
7,46,1874,387,21%
7,47,1412,293,21%
7,48,1920,354,18%
7,49,1996,244,12%
7,50,1905,328,17%
7,52,2139,373,17%
7,53,388,153,40%
7,54,1410,302,21%
7,55,1996,312,16%
7,56,2277,335,15%
7,57,2982,549,18%
7,59,2486,575,23%
7,97,NA,249,NA
7,98,NA,1161,NA
7,99,NA,979,NA
7 Total,NA,66162,14616,22%
8,1,1761,316,18%
8,2,429,173,40%
8,3,1522,391,26%
8,4,1748,415,24%
8,5,1333,279,21%
8,6,118,28,24%
8,7,2174,408,19%
8,9,302,132,44%
8,10,1395,335,24%
8,11,203,81,43%
8,12,51,51,100%
8,13,1761,335,19%
8,14,1872,397,21%
8,15,2449,421,17%
8,16,510,142,28%
8,17,1180,249,21%
8,18,1222,249,20%
8,20,1415,247,17%
8,21,1506,340,23%
8,22,610,18,3%
8,24,278,127,46%
8,25,324,126,39%
8,26,715,131,18%
8,27,441,108,25%
8,29,1602,344,22%
8,30,1930,487,25%
8,31,370,174,47%
8,32,160,54,34%
8,34,206,61,30%
8,35,2466,526,21%
8,36,2249,431,19%
8,37,2693,741,28%
8,39,2687,757,28%
8,40,1955,526,27%
8,42,1200,304,25%
8,43,2437,673,28%
8,44,2289,416,18%
8,45,2338,517,22%
8,46,925,181,20%
8,47,2916,542,19%
8,48,2306,437,19%
8,49,2410,478,20%
8,50,2488,578,23%
8,51,290,116,40%
8,52,518,166,32%
8,53,349,89,26%
8,54,463,140,30%
8,55,283,93,33%
8,56,484,150,31%
8,57,2540,659,26%
8,58,94,41,44%
8,59,144,63,44%
8,60,1846,431,23%
8,61,2278,523,23%
8,62,2678,706,26%
8,63,1825,471,26%
8,64,50,31,62%
8,65,1927,548,28%
8,66,353,139,39%
8,67,1995,494,25%
8,68,355,99,28%
8,97,NA,1024,NA
8,98,NA,3537,NA
8,99,NA,1836,NA
8 Total,NA,79418,25082,32%
9,1,2159,409,19%
9,2,2292,456,20%
9,3,1840,309,17%
9,4,1748,284,16%
9,5,1304,217,17%
9,6,2461,626,25%
9,7,2371,582,25%
9,8,2110,503,24%
9,9,2398,463,19%
9,10,1580,434,27%
9,11,3130,651,21%
9,12,2307,477,21%
9,13,1852,367,20%
9,14,866,167,19%
9,15,1223,305,25%
9,16,1260,258,20%
9,17,526,105,20%
9,18,2147,494,23%
9,19,733,235,32%
9,20,2100,648,31%
9,21,702,198,28%
9,22,2284,554,24%
9,23,2914,626,21%
9,24,2000,562,28%
9,25,1612,525,33%
9,26,1864,548,29%
9,27,1164,357,31%
9,28,86,49,57%
9,30,1766,435,25%
9,31,1939,465,24%
9,32,833,190,23%
9,33,1311,413,32%
9,34,2238,679,30%
9,35,2605,616,24%
9,36,1525,454,30%
9,37,2028,613,30%
9,38,2333,632,27%
9,39,3217,680,21%
9,40,82,27,33%
9,41,1804,463,26%
9,42,2590,572,22%
9,43,30,30,100%
9,44,1885,482,26%
9,45,173,71,46%
9,46,31,4,13%
9,47,3319,666,20%
9,48,602,168,28%
9,49,368,123,34%
9,50,448,94,21%
9,51,695,209,30%
9,52,500,161,33%
9,97,NA,827,NA
9,98,NA,2565,NA
9,99,NA,1821,NA
9 Total,NA,81355,24869,31%
10,1,2778,627,23%
10,2,2988,584,20%
10,3,11,4,45%
10,4,17,17,100%
10,5,631,157,25%
10,6,640,161,25%
10,7,614,144,23%
10,8,2033,383,19%
10,9,1045,218,21%
10,10,1291,301,23%
10,11,676,163,24%
10,12,2478,546,22%
10,13,1882,409,22%
10,14,1834,341,19%
10,15,14,14,100%
10,16,622,156,25%
10,17,1258,294,23%
10,18,1576,416,26%
10,19,185,56,30%
10,20,2468,514,21%
10,21,1561,167,11%
10,22,1313,231,18%
10,23,1177,144,12%
10,24,17,17,100%
10,25,2494,462,19%
10,26,1423,151,11%
10,27,2647,320,12%
10,28,3750,459,12%
10,29,405,72,18%
10,30,458,83,18%
10,31,40,40,100%
10,32,326,75,23%
10,33,330,28,8%
10,34,286,55,19%
10,35,328,97,30%
10,36,323,70,22%
10,37,448,52,12%
10,38,55,25,45%
10,39,191,56,29%
10,40,267,52,19%
10,41,537,101,19%
10,42,211,45,21%
10,43,3039,497,16%
10,44,1861,381,20%
10,45,497,157,32%
10,46,555,116,21%
10,47,961,266,28%
10,48,64,7,11%
10,50,337,71,21%
10,51,268,41,15%
10,52,3549,472,13%
10,53,2223,372,17%
10,54,551,125,23%
10,55,690,174,25%
10,56,454,123,27%
10,57,721,149,21%
10,58,559,127,23%
10,59,3695,655,18%
10,60,406,76,19%
10,61,1803,226,13%
10,62,330,62,19%
10,63,363,73,20%
10,64,571,289,51%
10,65,1867,271,15%
10,66,480,47,10%
10,67,4984,557,11%
10,68,498,101,20%
10,69,1556,284,18%
10,70,441,82,19%
10,71,404,107,26%
10,72,680,141,21%
10,73,396,42,11%
10,74,518,126,24%
10,75,633,115,18%
10,76,398,79,20%
10,77,614,157,26%
10,78,695,81,12%
10,79,840,70,8%
10,80,1038,264,25%
10,81,863,290,34%
10,82,751,252,34%
10,83,984,175,18%
10,84,909,263,29%
10,85,1874,275,15%
10,86,477,98,21%
10,88,759,239,31%
10,89,718,224,31%
10,90,3083,787,26%
10,91,253,86,34%
10,93,1495,371,25%
10,94,100,29,29%
10,97,NA,1074,NA
10,98,NA,1713,NA
10,99,NA,2127,NA
10 Total,NA,95433,23293,24%
11,1,2839,940,33%
11,2,2976,851,29%
11,3,95,21,22%
11,5,2799,928,33%
11,6,1639,643,39%
11,8,2357,758,32%
11,9,2723,737,27%
11,10,122,52,43%
11,11,2120,570,27%
11,12,2044,557,27%
11,13,90,31,34%
11,14,43,15,35%
11,15,429,99,23%
11,16,2365,570,24%
11,17,432,134,31%
11,18,192,65,34%
11,19,2045,374,18%
11,20,2339,548,23%
11,21,63,53,84%
11,22,1368,361,26%
11,23,77,7,9%
11,24,2027,437,22%
11,25,1246,356,29%
11,27,3267,866,27%
11,28,391,79,20%
11,29,1954,447,23%
11,30,2094,492,23%
11,31,544,217,40%
11,33,380,141,37%
11,34,282,146,52%
11,35,278,83,30%
11,36,367,87,24%
11,37,310,78,25%
11,38,455,102,22%
11,39,404,95,24%
11,40,413,89,22%
11,41,20,20,100%
11,42,1140,207,18%
11,43,289,69,24%
11,44,177,39,22%
11,45,506,65,13%
11,46,221,53,24%
11,47,905,299,33%
11,49,446,50,11%
11,51,1667,325,19%
11,52,1628,309,19%
11,53,1099,63,6%
11,54,331,94,28%
11,55,1114,304,27%
11,57,1597,226,14%
11,58,1244,362,29%
11,59,2048,563,27%
11,60,2188,582,27%
11,62,2519,589,23%
11,63,16,11,69%
11,64,181,70,39%
11,65,1701,434,26%
11,66,1374,427,31%
11,67,2319,677,29%
11,69,1265,346,27%
11,70,49,2,4%
11,71,103,2,2%
11,72,1570,243,15%
11,73,1007,228,23%
11,74,13,13,100%
11,76,1508,262,18%
11,77,88,18,20%
11,78,1334,221,17%
11,79,490,164,33%
11,80,1956,392,20%
11,81,544,130,24%
11,82,523,76,15%
11,83,646,147,23%
11,84,952,173,18%
11,97,NA,1247,NA
11,98,NA,2278,NA
11,99,NA,1881,NA
11 Total,NA,80347,25690,32%
12,1,216,74,34%
12,2,597,175,29%
12,3,2183,461,21%
12,4,1971,438,22%
12,5,3408,658,19%
12,7,23,19,83%
12,8,1865,560,30%
12,9,930,287,31%
12,10,1694,343,20%
12,11,1586,338,21%
12,12,2774,643,23%
12,13,2357,467,20%
12,14,364,108,30%
12,15,618,123,20%
12,16,170,92,54%
12,17,685,131,19%
12,18,1158,300,26%
12,19,2748,461,17%
12,20,380,56,15%
12,21,366,97,27%
12,22,3121,543,17%
12,23,335,92,27%
12,24,2042,572,28%
12,25,70,36,51%
12,26,2796,662,24%
12,27,351,51,15%
12,28,435,59,14%
12,29,263,57,22%
12,30,609,218,36%
12,31,460,139,30%
12,33,50,34,68%
12,34,1780,541,30%
12,35,1800,525,29%
12,36,3167,761,24%
12,39,2822,749,27%
12,40,3089,741,24%
12,42,2620,422,16%
12,43,2407,479,20%
12,45,52,45,87%
12,46,724,237,33%
12,47,3735,843,23%
12,49,2107,556,26%
12,50,1967,487,25%
12,51,11,3,27%
12,52,2758,737,27%
12,54,2207,706,32%
12,55,306,121,40%
12,56,105,41,40%
